disability_type,skills_one,skills_two,company,city,province,job_type,position,is_tuna_rungu
Visual Impairment,Java,Python,TechSol Solutions,Jakarta,DKI Jakarta,Full-time,Software Engineer,1
Hearing Impairment,Graphic Design,Adobe Photoshop,Artistic Creations,Bandung,West Java,Part-time,Graphic Designer,0
Physical Disability,Mechanical Engineering,AutoCAD,MegaTech Industries,Surabaya,East Java,Full-time,Mechanical Engineer,
Cognitive Disability,Data Analysis,Microsoft Excel,Analytica Solutions,Yogyakarta,Special Region of Yogyakarta,Contract,Data Analyst,
Neurodiversity (Autism Spectrum Disorder),Software Testing,Bug Tracking,BugBusters,Semarang,Central Java,Full-time,Software Tester,
Speech Impairment,Customer Service,Communication,Supportive Services,Medan,North Sumatra,Full-time,Customer Service Representative,
Mobility Impairment,Data Science,Machine Learning,DataGenius,Makassar,South Sulawesi,Remote,Data Scientist,
Neurodiversity (Attention Deficit Hyperactivity Disorder),Project Management,Team Leadership,Agile Solutions,Palembang,South Sumatra,Full-time,Project Manager,
Visual Impairment,Web Development,HTML,WebWizards,Denpasar,Bali,Part-time,Web Developer,
Physical Disability,Industrial Design,3D Modeling,Design Innovations,Malang,East Java,Contract,Industrial Designer,
Visual Impairment,Content Writing,Blogging,Content Masters,Bandung,West Java,Full-time,Content Writer,
Hearing Impairment,Video Editing,Adobe Premiere Pro,Visual Productions,Surabaya,East Java,Part-time,Video Editor,
Physical Disability,Civil Engineering,AutoCAD,InfraTech Solutions,Jakarta,DKI Jakarta,Full-time,Civil Engineer,
Cognitive Disability,Data Analysis,Statistical Modeling,Analytical Insights,Yogyakarta,Special Region of Yogyakarta,Full-time,Data Analyst,
Visual Impairment,No specific skills,,Inclusive Solutions,Jakarta,DKI Jakarta,Part-time,Office Assistant,
Hearing Impairment,Web Design,HTML,WebCreators,Bandung,West Java,Full-time,Front-end Developer,
Mobility Impairment,Accounting,Financial Analysis,Finance Experts,Surabaya,East Java,Full-time,Financial Analyst,
Neurodiversity (Autism Spectrum Disorder),Data Entry,Microsoft Excel,Data Solutions,Jakarta,DKI Jakarta,Part-time,Data Entry Operator,
Visual Impairment,Content Management,Social Media Marketing,Digital Marketing Pros,Semarang,Central Java,Full-time,Social Media Manager,
Hearing Impairment,Copywriting,Proofreading,Creative Writers,Bandung,West Java,Freelance,Copywriter,
Physical Disability,Electrical Engineering,Circuit Design,ElectroTech Solutions,Medan,North Sumatra,Full-time,Electrical Engineer,
